User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
14733363,1,68,190,94,29,105,40.8
14861698,0,20,166,60,14,94,40.3
11179863,1,69,179,79,5,88,38.7
16180408,0,34,179,71,13,100,40.5
17771927,0,27,154,58,10,81,39.8
15130815,0,36,151,50,23,96,40.7
19602372,0,33,158,56,22,95,40.5
11117088,1,41,175,85,25,100,40.7
12132339,1,60,186,94,21,97,40.4
17964668,0,26,146,51,16,90,40.2
13723164,0,36,177,76,1,74,37.8
13681290,0,21,157,56,17,100,40
15566424,1,66,171,79,11,90,40
12891699,0,32,157,54,18,93,40.4
13823829,1,53,182,85,2,82,38.1
17557348,0,39,156,62,28,104,40.8
12198133,1,39,182,82,4,82,38.6
15236104,1,46,169,67,11,89,40.2
11042324,0,27,171,65,4,85,38.6
16864285,1,50,188,86,14,94,40.2
11674347,1,67,189,93,8,77,39.2
19797300,0,31,148,50,8,84,39.5
14711095,0,33,157,60,3,80,38.7
14434854,0,20,165,59,29,100,41
14893804,1,48,182,85,1,80,37.7
17231597,1,29,176,75,10,83,39.7
10901446,1,33,173,73,7,78,39.3
15874362,1,42,190,88,3,83,38.9
15569252,0,62,159,59,29,106,41.2
15615743,1,38,171,75,2,81,38.2
13363046,1,20,183,88,16,97,40.5
17572853,0,25,160,59,24,102,40.3
17157339,0,24,165,59,18,91,40.2
18328111,0,42,165,68,22,93,40.8
19303479,1,22,182,84,29,114,41
10699201,0,74,158,59,10,93,39.6
15283313,0,70,154,59,10,88,40
16324247,0,26,182,80,21,96,40.5
14277710,1,44,184,86,25,114,40.8
10888188,1,61,183,86,1,81,38.3
13379795,0,68,157,57,13,92,40.1
17181524,0,61,176,70,20,104,40.5
15988442,1,63,179,80,25,108,40.8
19538533,0,54,171,66,20,98,40.1
14591877,0,54,169,66,3,80,38.9
14274480,0,47,155,55,16,93,40.5
16818429,1,33,184,86,8,86,39.9
17476522,0,24,171,66,24,105,40.6
16369885,1,24,195,98,20,96,40.6
17816292,1,48,152,59,2,79,38
15995398,1,35,193,93,10,83,39.7
17615432,1,21,168,71,3,78,38.5
10146087,0,21,179,73,9,90,39.6
17967445,0,22,158,62,25,105,40.6
19670291,0,69,174,69,2,80,38.1
10580576,1,53,191,101,21,106,40.7
15854213,0,68,155,58,15,100,40.3
11138472,0,69,164,65,23,113,40.4
18276801,1,28,198,101,19,95,40.6
13823902,1,70,188,89,7,82,39.3
19222133,0,36,170,64,9,84,39.6
13231909,0,77,177,80,16,98,40.6
12726617,0,32,167,63,9,99,39.7
12538968,0,62,185,77,13,84,40.4
10941668,0,64,151,56,20,97,40.4
12628985,1,45,175,79,27,104,40.6
17691320,1,45,158,61,20,97,40.7
17822027,0,22,177,71,10,93,39.8
13777657,1,45,169,69,22,113,40.6
19423359,0,66,174,69,28,111,40.9
